DISTRIBUTION OF A PLATE WIDTH: μ = 900 mm, σ = 1 mm

Using functions from the math library ...
 x         f(x)           F(x)
890     7.6946e-23     0.0000e+00
891     1.0280e-18     0.0000e+00
892     5.0523e-15     6.1062e-16
893     9.1347e-12     1.2798e-12
894     6.0759e-09     9.8659e-10
895     1.4867e-06     2.8665e-07
896     1.3383e-04     3.1671e-05
897     4.4318e-03     1.3499e-03
898     5.3991e-02     2.2750e-02
899     2.4197e-01     1.5866e-01
900     3.9894e-01     5.0000e-01
901     2.4197e-01     8.4134e-01
902     5.3991e-02     9.7725e-01
903     4.4318e-03     9.9865e-01
904     1.3383e-04     9.9997e-01
905     1.4867e-06     1.0000e+00
906     6.0759e-09     1.0000e+00
907     9.1347e-12     1.0000e+00
908     5.0523e-15     1.0000e+00
909     1.0280e-18     1.0000e+00
910     7.6946e-23     1.0000e+00

Using a series to evaluate erf(z) ...
 x         F(x)      Number of terms
890     3.8815e+03        171
891    -1.4276e-01        145
892     2.9402e-05        121
893     8.2477e-09         99
894     9.1897e-10         80
895     2.8665e-07         64
896     3.1671e-05         49
897     1.3499e-03         37
898     2.2750e-02         26
899     1.5866e-01         17
900     5.0000e-01          0
901     8.4134e-01         17
902     9.7725e-01         26
903     9.9865e-01         37
904     9.9997e-01         49
905     1.0000e+00         64
906     1.0000e+00         80
907     1.0000e+00         99
908     9.9997e-01        121
909     1.1428e+00        145
910    -3.8805e+03        171

Using an accurate integer series to evaluate erf(z) ...
 x         F(x)      Number of terms
890     0.0000e+00        223
891     0.0000e+00        193
892     6.1062e-16        167
893     1.2798e-12        143
894     9.8659e-10        121
895     2.8665e-07        101
896     3.1671e-05         83
897     1.3499e-03         65
898     2.2750e-02         51
899     1.5866e-01         35
900     5.0000e-01          0
901     8.4134e-01         34
902     9.7725e-01         50
903     9.9865e-01         66
904     9.9997e-01         82
905     1.0000e+00        102
906     1.0000e+00        122
907     1.0000e+00        144
908     1.0000e+00        168
909     1.0000e+00        194
910     1.0000e+00        222

Programmed by The Instructors
Date: Mon Oct 24 14:55:42 2016
End of processing
